Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
SAFE_MM100,0.98,15,100000,360,72478,27522,1915.7752814793675,14947.082556886076,31.30727539282823,4297.481447446495,-9719.420268888887,13000.0,0.0,0.0,0.0,15.708644970458353,63.4286664445142,0
SAFE_MM100,0.98,16,100000,360,72310,27690,1910.6705157289962,14940.99134154748,30.320825834891544,4293.397431489688,-9739.81455885185,13000.0,0.0,0.0,0.0,15.051597940800802,63.03883745836477,0
SAFE_MM100,0.98,17,100000,360,72083,27917,1897.1782332776345,14925.283973370535,28.10574010731887,4294.302043718897,-10531.641622745099,13000.0,0.0,0.0,0.0,14.233463191820551,63.291949529352415,0
SAFE_MM100,0.98,18,100000,360,72057,27943,1890.7068057319807,14917.512406801652,26.80560105592636,4293.685214236153,-10678.129629629631,13000.0,0.0,0.0,0.0,13.567019520158834,62.99623174069542,0
SAFE_MM100,0.98,19,100000,360,71238,28762,1888.4523863390482,14913.681403561332,25.229017214085303,4321.9396583138805,-10728.543859649122,13000.0,0.0,0.0,0.0,12.975967593106926,63.72949305635274,0
SAFE_MM100,0.97,1,100000,360,73223,26777,1898.2188484975743,15130.15528734076,231.93643883567623,4195.449269138066,-9898.466666666664,13000.0,0.0,0.0,0.0,69.6369515470321,44.21460399997372,0
SAFE_MM100,0.97,2,100000,360,72500,27500,1917.8826680873979,15145.262522666473,227.37985457953707,4275.6407795327905,-9935.333333333332,13000.0,0.0,0.0,0.0,66.19461823461357,49.582565500009295,0
SAFE_MM100,0.97,3,100000,360,73298,26702,1927.7778418222842,15143.063997327736,215.28615550861173,4250.495132311749,-9765.620426666663,13000.0,0.0,0.0,0.0,63.50777834523516,56.50292100005973,0
SAFE_MM100,0.97,4,100000,360,72613,27387,1931.555686260147,15131.823592826362,200.2679065722959,4286.8855553381945,-10423.805000000002,13000.0,0.0,0.0,0.0,62.20614611836115,56.89025324999412,0
SAFE_MM100,0.97,5,100000,360,72781,27219,1942.633100360273,15109.650452259977,167.01735190859344,4297.590148613082,-9742.302000000001,13000.0,0.0,0.0,0.0,58.40550329143091,59.941865800037874,0
SAFE_MM100,0.97,6,100000,360,72276,27724,1912.7442529362352,15057.331412338901,144.58715939672084,4294.762575746106,-9524.170874922218,13000.0,0.0,0.0,0.0,54.24496422046684,59.508804000063854,0
SAFE_MM100,0.97,7,100000,360,72858,27142,1954.7078828756707,15078.824662931438,124.11678004334016,4306.840555182007,-9594.449814468251,13000.0,0.0,0.0,0.0,49.09694395570213,61.562757428567465,0
SAFE_MM100,0.97,8,100000,360,72771,27229,1941.5526642322948,15049.35369271172,107.80102848426962,4307.515381678055,-9751.051004944451,13000.0,0.0,0.0,0.0,44.634848848732894,61.11557124993322,0
SAFE_MM100,0.97,9,100000,360,72764,27236,1938.2028573774478,15030.38775811065,92.18490073475192,4315.925102736728,-9425.56383,13000.0,0.0,0.0,0.0,41.37924214799699,62.42909444447815,0
SAFE_MM100,0.97,10,100000,360,73275,26725,1919.6634121978248,15002.239832760593,82.57642055273037,4289.686768403342,-9922.899999999998,13000.0,0.0,0.0,0.0,38.51213433633333,61.83906419999258,0
SAFE_MM100,0.97,11,100000,360,73367,26633,1925.5065223818392,15001.012203232138,75.5056808482845,4288.94110185339,-9855.239393939399,13000.0,0.0,0.0,0.0,35.2456683833826,61.51751281823957,0
SAFE_MM100,0.97,12,100000,360,71345,28655,1788.7106640642608,14858.467545924139,69.75688185256885,4100.130198627543,-9720.415333333338,13000.0,0.0,0.0,0.0,32.43399905706185,60.950775749972145,0
SAFE_MM100,0.97,13,100000,360,71066,28934,1782.2558359546556,14845.240928432522,62.98509245748742,4124.089722923261,-10311.689051282046,13000.0,0.0,0.0,0.0,30.58846222813471,61.75133315380849,0
SAFE_MM100,0.97,14,100000,360,71333,28667,1799.6045217776668,14857.955191040483,58.3506692467251,4124.765281739521,-10628.650238095237,13000.0,0.0,0.0,0.0,28.17683515215668,61.52262007146263,0
SAFE_MM100,0.97,15,100000,360,71298,28702,1778.963281286374,14834.711984143596,55.748702848379125,4107.977254496356,-9768.140473333333,13000.0,0.0,0.0,0.0,26.67299545952762,61.164673333343764,0
SAFE_MM100,0.97,16,100000,360,71314,28686,1790.493780869588,14842.013472884226,51.51969199700089,4126.578549867863,-10798.94666666667,13000.0,0.0,0.0,0.0,25.33044420210091,61.75389568756229,0
SAFE_MM100,0.97,17,100000,360,71334,28666,1785.1295874939633,14834.121556610455,48.99196911800611,4126.393410483353,-9883.082470588237,13000.0,0.0,0.0,0.0,23.989815347194163,61.41159276473914,0
SAFE_MM100,0.97,18,100000,360,71206,28794,1778.0748631046274,14824.578705782105,46.50384267278172,4125.0268453453755,-9694.709569643928,13000.0,0.0,0.0,0.0,22.330547889400822,62.06743366668149,0
SAFE_MM100,0.97,19,100000,360,70910,29090,1747.7982850866306,14792.355158773285,44.55687367701249,4127.80422759242,-9842.559894736842,13000.0,0.0,0.0,0.0,22.327903592343194,61.651983894750494,0
SAFE_MM100,0.96,1,100000,360,72656,27344,1852.0876062410289,15220.156863994505,368.069257760119,4093.0864643433524,-9996.533333333327,13000.0,0.0,0.0,0.0,99.72509462082145,31.432400000000005,0
SAFE_MM100,0.96,2,100000,360,73244,26756,1880.422791771521,15219.190775994099,338.7679842282049,4140.5982258701115,-9801.733333333337,13000.0,0.0,0.0,0.0,93.75079740877783,46.70614533334346,0
SAFE_MM100,0.96,3,100000,360,73306,26694,1893.599019097032,15219.388892007766,325.789872901133,4159.613743765945,-10456.989377748148,13000.0,0.0,0.0,0.0,91.20948225034631,53.952847111148344,0
SAFE_MM100,0.96,4,100000,360,73256,26744,1892.5489890483937,15176.580950994714,284.0319619507438,4164.535492273808,-9688.66666666667,13000.0,0.0,0.0,0.0,87.98389934290745,56.568588000024896,0
SAFE_MM100,0.96,5,100000,360,73316,26684,1894.4178272741497,15132.33547521159,237.91764792502423,4171.75218162077,-9807.073333333328,13000.0,0.0,0.0,0.0,81.58601956997899,58.41696160002689,0
SAFE_MM100,0.96,6,100000,360,73354,26646,1890.6959672415096,15103.602382659894,212.9064154259673,4173.9692669118995,-9956.133333333337,13000.0,0.0,0.0,0.0,75.27696191075441,56.849834222267816,0
SAFE_MM100,0.96,7,100000,360,73447,26553,1898.6121577191848,15083.824300397937,185.21214268787477,4185.023660046238,-10156.306095238098,13000.0,0.0,0.0,0.0,69.29636368942475,58.364751238089895,0
SAFE_MM100,0.96,8,100000,360,73066,26934,1869.1291121016498,15030.310868166562,161.18175606444382,4195.93962783548,-9787.2,13000.0,0.0,0.0,0.0,63.79096758724295,59.41957983338008,0
SAFE_MM100,0.96,9,100000,360,73517,26483,1902.101884735042,15042.3971011359,140.2952163992685,4194.777918977823,-10345.824888888885,13000.0,0.0,0.0,0.0,58.288606975734716,60.746834518510525,0
SAFE_MM100,0.96,10,100000,360,73464,26536,1874.0313148573048,15005.452788600702,131.4214737540728,4179.3002336474565,-9666.430666666665,13000.0,0.0045,0.0405,0.0,54.77160430218515,59.04361080003661,0
SAFE_MM100,0.96,11,100000,360,71264,28736,1759.2933722443113,14874.775695591781,115.48232333656708,4036.673171918992,-9949.178424242422,13000.0,0.0,0.0,0.0,50.30886272390787,59.52298521210022,0
SAFE_MM100,0.96,12,100000,360,71128,28872,1749.8332134176337,14851.914868563876,102.08165513632228,4047.4057445370454,-10425.563555555551,13000.0,0.0,0.0,0.0,46.42530528991352,60.37515888892089,0
SAFE_MM100,0.96,13,100000,360,71071,28929,1755.8270653031382,14847.455078031908,91.62801272579972,4079.826910163356,-9644.93241025641,13000.0,0.0,0.0,0.0,43.321319800221076,60.934633025733476,0
SAFE_MM100,0.96,14,100000,360,71013,28987,1744.7335549080276,14831.243285109245,86.50973021961333,4080.199456905786,-9673.738666666664,13000.0,0.0,0.0,0.0,40.61967742125028,59.830988476223396,0
SAFE_MM100,0.96,15,100000,360,71361,28639,1763.823848944242,14844.110903371713,80.28705441723775,4087.257595386698,-10199.395555555553,13000.0,0.0,0.0,0.0,38.13763472317065,60.44739066664038,0
SAFE_MM100,0.96,16,100000,360,70672,29328,1708.3384647896012,14783.818569572844,75.48010479334822,4035.25094525213,-9768.130880473327,13000.0,1.00068,15.0102,0.0,34.36405706998481,59.02414583340292,0
SAFE_MM100,0.96,17,100000,360,70874,29126,1728.6501218395033,14799.249295376601,70.59917352684194,4040.498874286339,-9843.630597619014,13000.0,1.15771,18.7167,0.0,32.188190667155794,59.3800467451185,0
SAFE_MM100,0.96,18,100000,360,71030,28970,1743.6985248407934,14809.536442337025,65.837917504907,4094.8051551486715,-9544.76658814814,13000.0,0.0,0.0,0.0,32.914853158971475,61.556441851907515,0
SAFE_MM100,0.96,19,100000,360,70756,29244,1728.5349426725465,14792.774187850971,64.23924519273287,4093.5174457367393,-10026.868732397656,13000.0,0.0,0.0,0.0,31.677185155861164,60.80151803514431,0
SAFE_MM100,0.95,1,100000,360,72935,27065,1843.8873129455724,15309.324778333394,465.4374653903009,4062.06055998135,-9693.017261111117,13000.0,0.0,0.0,0.0,129.32350853460883,34.377,0
SAFE_MM100,0.95,2,100000,360,73099,26901,1834.1765137664595,15296.230079992978,462.0535662348213,4074.6464135908573,-9971.579669388891,13000.0,0.0,0.0,0.0,123.94601246040726,39.7475,0
SAFE_MM100,0.95,3,100000,360,73263,26737,1867.6944092631763,15305.380623326473,437.6862140689163,4114.425274682835,-10449.345000000001,13000.0,0.0,0.0,0.0,120.528361500106,51.59174999999525,0
SAFE_MM100,0.95,4,100000,360,73251,26749,1866.3427836201813,15243.878051249567,377.53526762728245,4099.086921579783,-9756.0,13000.0,0.0,0.0,0.0,115.14745887266929,51.69924000000001,0
SAFE_MM100,0.95,5,100000,360,72993,27007,1851.255228447949,15170.619503343578,319.3642748836096,4122.765996430902,-9821.005000000005,13000.0,0.0,0.0,0.0,107.27912339700175,56.38915199997378,0
SAFE_MM100,0.95,6,100000,360,73335,26665,1866.6374859529376,15146.98045306859,280.3429671040095,4124.348022039521,-9558.256690147286,13000.0,0.0,0.0,0.0,97.76494707418662,55.74574333332305,0
SAFE_MM100,0.95,7,100000,360,73474,26526,1877.669139731872,15116.219364945979,238.55022523428906,4143.609270512348,-9774.649523809523,13000.0,0.0,0.0,0.0,89.70617002731821,59.416708571443564,0
SAFE_MM100,0.95,8,100000,360,73045,26955,1843.177805198587,15057.614968118918,214.4371629271231,4148.906560381562,-9701.624999999995,13000.0,0.0,0.0,0.0,82.47351160405763,58.34153812500368,0
SAFE_MM100,0.95,9,100000,360,73658,26342,1745.2256087455985,14931.746879014026,186.52127026892697,4010.3449957898556,-9534.178333333333,13000.0,0.0,0.0,0.0,75.09645095339883,57.08511351849827,0
SAFE_MM100,0.95,10,100000,360,73852,26148,1776.5845229641607,14949.036236172431,172.45171320229895,4033.35414543769,-9637.372972222227,13000.0,0.0,0.0,0.0,71.292419654456,59.34104816663706,0
SAFE_MM100,0.95,11,100000,360,70987,29013,1668.1745537795314,14823.358736068993,155.18418230939585,3920.779844113051,-9790.937768107742,13000.0,0.0,0.0,0.0,65.57544525491151,58.54293015156283,0
SAFE_MM100,0.95,12,100000,360,71363,28637,1689.1127279818159,14825.43805045142,136.32532246811894,3964.707994942768,-10261.344999999996,13000.0,0.0,0.0,0.0,58.91592688457488,58.113800833312396,0
SAFE_MM100,0.95,13,100000,360,70397,29603,1644.9354479031476,14772.458843941582,127.5233960522404,3919.5897721817746,-10557.476025641023,13000.0,0.0,0.0,0.0,56.7999188022107,59.42618333329674,0
SAFE_MM100,0.95,14,100000,360,70805,29195,1661.0651421976224,14779.16724230988,118.10210013087843,3956.371103528538,-9700.27190476191,13000.0,0.0,0.0,0.0,53.46929138990618,58.77667190475975,0
SAFE_MM100,0.95,15,100000,360,71590,28410,1692.8290230901268,14800.54134899064,107.71232591020541,3983.308544355845,-9845.177777777772,13000.0,0.0,0.0,0.0,50.12866859378875,60.298481111068206,0
SAFE_MM100,0.95,16,100000,360,69981,30019,1622.4879818332765,14723.068605300086,100.58062346846258,3938.755592845617,-10129.59500000001,13000.0,0.0,0.0,0.0,48.10050075130593,59.642088333335685,0
SAFE_MM100,0.95,17,100000,360,70225,29775,1631.9589021222478,14726.6331822168,94.67428009880206,3937.6848714928565,-9671.665196078431,13000.0,0.0,0.0,0.0,45.27949911740836,59.05709490199847,0
SAFE_MM100,0.95,18,100000,360,70053,29947,1641.341549225239,14727.309545384194,85.96799617511047,3947.2371366956068,-10162.57474629629,13000.0,0.0,0.0,0.0,41.92998557342488,60.2800793519039,0
SAFE_MM100,0.95,19,100000,360,70116,29884,1657.7003236247006,14741.401903890892,83.70158025740946,3940.6382695842403,-9874.394736842109,13000.0,0.0,0.0,0.0,41.4736947817555,59.84214307021031,0
SAFE_MM100,0.94,1,100000,360,72918,27082,1820.2094740643918,15390.462982008552,570.2535079381477,4012.429209822665,-9368.541333333329,13000.0,0.0,0.0,0.0,160.06412954637497,34.94220000000001,0
SAFE_MM100,0.94,2,100000,360,73131,26869,1824.57142024855,15381.871790007994,557.300369754005,4012.4292098226506,-9560.000000000011,13000.0,0.0,0.0,0.0,151.95686440670656,43.83420000000001,0
SAFE_MM100,0.94,3,100000,360,73109,26891,1834.8737259743773,15379.704217347731,544.8304913596459,4034.175696309052,-9641.441361510071,13000.0,0.0,0.0,0.0,149.18080588693232,46.686400000000006,0
SAFE_MM100,0.94,4,100000,360,73433,26567,1840.9683028700338,15307.248889649723,466.28058679915847,4029.3980006215206,-9688.773806577778,13000.0,0.0,0.0,0.0,140.75919654352228,49.49865000000001,0
SAFE_MM100,0.94,5,100000,360,73452,26548,1846.0683597390557,15250.682753598216,404.61439386098334,4046.2734911445586,-9666.457399955561,13000.0,0.0,0.0,0.0,131.05127659088333,50.45004000000001,0
SAFE_MM100,0.94,6,100000,360,73440,26560,1861.861053938217,15206.123529659711,344.26247572697287,4086.2373451100066,-9774.199999999997,13000.0,0.0,0.0,0.0,118.64508633006837,56.52256599994179,0
SAFE_MM100,0.94,7,100000,360,73142,26858,1827.760803863073,15133.764104117801,306.0033002447323,4090.966643783355,-9754.979807619055,13000.0,0.0,0.0,0.0,111.61236280636257,56.58415028573908,0
SAFE_MM100,0.94,8,100000,360,73197,26803,1815.7589436117703,15086.674328097357,270.91538449341186,4093.7386730584803,-9509.583333333328,13000.0,0.0,0.0,0.0,101.54384493200263,56.68506149997294,0
SAFE_MM100,0.94,9,100000,360,73557,26443,1771.1845632625154,15012.081566882767,240.8970036264272,3978.8790292955964,-9756.405999999999,13000.0,0.0,0.0,0.0,92.24909370845279,56.60186933329973,0
SAFE_MM100,0.94,10,100000,360,73003,26997,1726.280176947178,14946.934515957624,220.6543390280379,3987.978998893661,-9792.892009888892,13000.0,0.0,0.0,0.0,88.79409210425536,56.65516919994961,0
SAFE_MM100,0.94,11,100000,360,71093,28907,1623.653392144284,14814.729086645211,191.07569450443458,3798.38564986494,-9486.063790303035,13000.0,0.0,0.0,0.0,78.6094340415604,56.484932727262226,0
SAFE_MM100,0.94,12,100000,360,70835,29165,1609.6421826376848,14787.830221666944,178.18803902911134,3798.225889443933,-9717.366666666672,13000.0,0.0,0.0,0.0,74.29880056283527,56.51685100002692,0
SAFE_MM100,0.94,13,100000,360,70797,29203,1590.809892920102,14754.549005675288,163.73911276370907,3809.46877758118,-9699.341832307686,13000.0,0.0,0.0,0.0,69.62644926039752,56.35763076916976,0
SAFE_MM100,0.94,14,100000,360,69562,30438,1543.1901116536474,14692.124444201918,148.9343325292377,3786.855757474619,-9780.3375398783,13000.0,0.87141,11.32833,0.0,61.54057260839142,56.4157714285629,0
SAFE_MM100,0.94,15,100000,360,69656,30344,1518.0324065353839,14658.755750041913,140.72334351372086,3734.803961186655,-9451.940806666666,13000.0,4.37873,64.792,0.0,56.91669187927219,56.25680000000001,0
SAFE_MM100,0.94,16,100000,360,69929,30071,1616.0584848653277,14746.04659359929,129.98810874924084,3911.649723937735,-9420.302009888896,13000.0,0.0,0.0,0.0,59.498965645710435,58.48341524996683,0
SAFE_MM100,0.94,17,100000,360,69697,30303,1596.185701916357,14716.836385903523,120.65068398969824,3839.3734280152858,-9528.23137254902,13000.0,0.0,0.0,0.0,56.99286072953074,58.267707529391224,0
SAFE_MM100,0.94,18,100000,360,69827,30173,1624.9926530418586,14739.942763544252,114.95011051285915,3916.4673960819055,-9499.249648888886,13000.0,0.0,0.0,0.0,54.24763567407943,58.44465533330516,0
